158 2
0 9.865609 364.3364
1 284.2886 131.17249
2 186.23824 -101.14664
3 3.443366 -1.4481132
4 2.292535 -3.4006891
5 -55.385468 -71.24118
6 54.62579 -179.48361
7 -68.26664 -78.69534
8 5.378152 -208.35226
9 8.94982 -206.40268
10 7.535344 -207.26385
11 62.452946 -175.02797
12 71.45401 -169.76277
13 74.85266 -167.81645
14 80.9899 -164.17793
15 8.178875 -8.774955
16 25.758049 -28.24497
17 -1.2295251 0.80805147
18 21.15464 -27.51181
19 15.979035 -23.164654
20 14.792209 -9.060453
21 10.287325 -9.0604315
22 17.50328 -14.032478
23 2.1878195 -5.3652124
24 8.7208805 -13.687942
25 11.442493 -14.301195
26 3.764837 -2.4185176
27 9.759714 -4.9030323
28 -5.129679 3.0117698
29 3.7120082 14.329797
30 5.131626 4.014923
31 -0.11919113 28.131485
32 2.7171946 7.9589915
33 1.0389969 9.888468
34 7.6868362 3.1597252
35 0.4739511 -1.3789566
36 10.63618 4.0637226
37 -0.9493423 3.3992753
38 3.042089 -0.46006566
39 24.58213 -23.170918
40 -201.70552 141.24887
41 24.040838 -22.91888
42 35.485912 -16.059278
43 17.567162 -26.95973
44 20.940882 5.5512433
45 -110.17188 112.101456
46 -241.7347 191.45856
47 -196.62578 139.40509
48 -246.39342 198.05176
49 5.4982734 -5.0023074
50 373.4293 -192.14597
51 -192.17815 255.23213
52 -209.01215 241.50157
53 -208.82156 267.58868
54 -215.76463 272.7446
55 -213.85316 268.96017
56 -215.90202 273.8604
57 -212.5844 259.9637
58 -219.91165 255.62598
59 -220.74425 253.86858
60 -220.26295 242.19705
61 -0.8434815 3.470587
62 -67.01597 -250.73792
63 17.428484 -23.164164
64 2.1676 -3.1340272
65 75.421875 -167.03296
66 -0.006060697 -0.011669539
67 5.8496346 -9.265207
68 -407.09695 -370.52795
69 -100.35475 -270.6234
70 -186.2782 -321.09366
71 -177.31537 -315.81778
72 -186.92976 -321.3148
73 -192.90242 -324.7906
74 -202.42458 -330.54974
75 -208.11281 -334.01443
76 -223.72969 -342.91742
77 -221.40651 -342.37067
78 -267.3918 -361.8259
79 5.1452875 -9.375998
80 36.26022 -43.762684
81 25.80508 -2.8736792
82 56.84828 -108.23352
83 17.387291 0.40435526
84 -0.17572373 2.6701987
85 53.539085 34.357613
86 -41.643555 60.24715
87 44.779842 -36.82985
88 91.378395 -73.25406
89 75.63285 -64.74011
90 97.70482 -78.428215
91 100.094215 -86.07885
92 82.85462 -72.547585
93 39.84898 -43.3732
94 7.457898 -5.673337
95 67.48127 -69.302925
96 19.85842 -200.00061
97 197.69774 80.33612
98 314.02228 149.38963
99 296.65176 138.24992
100 209.11105 86.23387
101 70.8636 4.0884786
102 60.708443 -2.0686865
103 12.383398 -204.38284
104 0.78203064 -1.549606
105 4.4522266 -6.3168106
106 2.1124504 -36.115395
107 -138.06044 106.02342
108 -0.61723256 -37.039898
109 -20.783834 -49.59455
110 -51.51915 -68.06861
111 -47.032887 -65.39571
112 -38.498295 -60.28414
113 -142.1004 100.69317
114 -201.35559 179.12975
115 -197.19489 162.10616
116 -6.114869 5.072575
117 28.702085 -12.55514
118 36.060024 -15.986495
119 17.105947 -26.700981
120 19.265415 -25.700615
121 40.052727 -13.145635
122 36.37067 -15.18132
123 35.093945 -15.907773
124 34.234844 -16.26837
125 39.673584 -13.261732
126 34.935738 -16.004993
127 35.760246 -15.5707245
128 -4.9546423 3.4696233
129 143.78488 -126.51926
130 47.703728 -9.955711
131 163.48224 -114.92594
132 175.32678 -106.860855
133 68.36189 2.0002124
134 62.051006 -1.5571744
135 53.862923 -6.345664
136 67.69314 2.4333262
137 156.86081 -57.741276
138 53.01635 -7.273977
139 0.8273496 -4.0853114
140 -32.236736 -57.181652
141 13.970681 -29.457455
142 20.579353 -26.139757
143 6.3494067 -8.236143
144 5.6745386 -5.3623724
145 124.548676 -138.13068
146 82.76664 -162.31665
147 111.76766 -145.7128
148 120.31657 -140.92209
149 128.43065 -136.05017
150 115.67644 -144.32698
151 137.4734 -53.414394
152 -47.129147 115.23187
153 42.733456 -10.652117
154 105.29181 -148.7544
155 6.999461 -9.931731
156 -9.773268 7.960127
157 0.021225538 0.014043871
158 0.0 0.0
