CaseID,ActivityID,CompleteTimestamp
2,1_2,2012-04-03 16:55:38
2,8_8,2012-04-03 16:55:53
2,6_0,2012-04-05 17:15:52
3,1_9,2010-10-29 18:14:06
3,8_3,2010-11-04 01:16:11
3,6_0,2010-11-04 01:21:17
4,1_6,2010-12-15 23:31:53
4,8_3,2010-12-16 17:01:07
4,6_0,2010-12-16 17:08:19
5,1_5,2012-04-03 21:08:32
5,8_3,2012-04-03 21:45:33
5,6_10,2012-04-03 21:47:22
5,8_5,2012-04-03 22:15:02
5,6_0,2012-04-04 00:07:28
6,1_5,2011-10-25 23:13:58
6,8_6,2011-10-25 23:58:55
6,6_0,2011-10-26 17:54:46
8,1_5,2012-07-05 16:30:32
8,8_4,2012-07-05 17:25:45
8,6_0,2012-07-05 17:44:46
9,3_1,2010-05-07 21:02:21
9,1_10,2010-05-07 21:02:34
9,8_7,2010-05-24 18:26:28
9,6_0,2010-05-25 23:35:44
10,1_10,2010-02-10 17:50:20
10,8_1,2010-03-19 17:47:06
10,6_0,2010-03-19 17:47:13
11,1_3,2011-12-22 00:24:41
11,8_6,2011-12-22 00:25:34
11,6_0,2011-12-22 18:55:43
14,1_2,2011-07-05 21:47:08
14,8_3,2011-07-05 21:47:22
14,6_0,2011-07-05 21:52:37
16,1_5,2012-02-22 23:16:52
16,8_4,2012-02-23 01:14:07
16,8_6,2012-02-23 01:23:57
16,6_0,2012-02-23 18:47:38
17,1_10,2011-10-14 15:10:47
17,8_9,2011-11-03 01:17:52
17,6_0,2011-11-09 22:31:37
19,1_8,2010-07-07 15:54:04
19,8_2,2010-07-09 18:10:52
19,6_0,2010-07-09 18:11:18
21,1_10,2011-01-15 00:15:21
21,8_5,2011-01-27 17:06:37
21,6_0,2011-01-27 19:19:15
22,1_1,2012-07-23 15:49:04
22,8_5,2012-07-23 15:49:14
22,9_10,2012-07-23 16:51:59
22,6_0,2012-08-27 18:05:23
24,1_10,2010-04-27 17:49:56
24,8_6,2010-06-08 19:06:56
24,6_0,2010-06-08 22:46:16
25,1_6,2010-12-30 18:27:17
25,8_5,2010-12-30 22:14:04
25,6_0,2010-12-31 00:16:35
26,1_4,2011-03-31 15:28:47
26,8_5,2011-03-31 15:31:59
26,9_2,2011-03-31 16:39:41
26,8_1,2011-03-31 19:00:28
26,6_0,2011-03-31 19:00:41
27,1_2,2011-11-24 23:02:16
27,8_10,2011-11-24 23:02:35
27,6_0,2011-12-12 18:04:47
29,1_1,2012-07-30 18:07:32
29,8_5,2012-07-30 18:07:40
29,6_0,2012-07-30 20:29:40
30,1_10,2011-01-21 18:47:20
30,8_8,2011-02-07 18:19:45
30,6_0,2011-02-10 18:01:20
32,1_6,2011-04-27 15:38:44
32,8_7,2011-04-27 20:46:13
32,6_0,2011-04-28 16:18:08
35,1_5,2012-01-18 17:15:30
35,6_0,2012-01-18 18:46:37
36,1_7,2011-06-29 18:06:48
36,8_8,2011-06-30 20:58:23
36,6_0,2011-07-05 15:32:43
37,1_3,2011-02-10 20:13:07
37,8_6,2011-02-10 20:13:33
37,6_10,2011-02-11 00:20:02
37,6_10,2011-03-02 22:23:58
37,8_5,2011-03-02 22:24:07
37,9_3,2011-03-03 00:27:52
37,8_1,2011-03-04 18:37:50
37,6_0,2011-03-04 18:37:55
38,1_3,2012-03-20 16:57:45
38,8_4,2012-03-20 16:58:15
38,6_0,2012-03-20 17:18:56
40,1_3,2012-08-09 20:13:03
40,8_4,2012-08-09 20:13:29
40,6_0,2012-08-09 20:46:00
41,1_3,2010-12-14 19:44:26
41,8_2,2010-12-14 19:44:57
41,6_0,2010-12-14 19:45:12
